"","title","code","genre","country","runtime","release","director","actor","view_class","audience_age_10","audience_age_20","audience_age_30","audience_age_40","audience_age_50","netizen_score","netizen_count","ntz_male","ntz_female","ntz_10","ntz_20","ntz_30","ntz_40","ntz_50","audience_score","audience_count","audience_male","audience_female","audience_10","audience_20","audience_30","audience_40","audience_50"
"1","클라우스","191613","애니메이션, 코미디, 가족","스페인, 영국","96분 "," 2019.11.15 개봉","서지오 파블로스, 카를로스 마르티네즈 로페즈","제이슨 슈왈츠먼, J.K. 시몬스, 라시다 존스더보기","[국내] 전체 관람가",NA,NA,NA,NA,NA,"9.80","322","9.71","9.88","9.89","9.86","9.79","9.72","9.17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","그린 북","171539","드라마","미국","130분 "," 2019.01.09 개봉","피터 패럴리","비고 모텐슨(토니 발레롱가), 마허샬라 알리(돈 셜리 박사)더보기","[국내] 12세 관람가 [해외] PG-13도움말","0%","30%","29%","17%","23%","9.60","7,643","9.51","9.79","9.68","9.64","9.66","9.60","9.46","9.55","2,070","9.52","9.57","9.60","9.50","9.58","9.53","9.58"
"3","가버나움","174830","드라마","레바논, 프랑스","126분 "," 2019.01.24 개봉","나딘 라바키","자인 알 라피아(자인), 요르다노스 시프로우(라힐)더보기","[국내] 15세 관람가 [해외] R도움말","2%","37%","29%","15%","17%","9.59","3,475","9.28","9.85","9.76","9.64","9.67","9.62","9.55","9.54","1,393","9.39","9.61","9.64","9.56","9.51","9.58","9.49"
"4","밥정","186114","다큐멘터리, 드라마","한국","82분 "," 2020.10.07 개봉","박혜령","임지호(본인)더보기","[국내] 전체 관람가","5%","35%","25%","15%","20%","9.53","389","9.29","9.83","5.50","9.29","9.34","9.86","9.53","9.70","20","9.75","9.69","10.0","9.43","9.80","10.0","9.75"
"5","장민호 드라마 최종회","213746","공연실황","한국","106분 "," 2022.01.24 개봉",NA,"장민호더보기","[국내] 전체 관람가","0%","0%","11%","44%","44%","9.51","600","5.57","9.93","6.62","5.91","7.90","9.31","9.89","9.89","9","9.00","10.0","0.00","0.00","10.0","9.75","10.0"
"6","디지몬 어드벤처 라스트 에볼루션 : 인연","192613","애니메이션, 모험","일본","114분 "," 2021.02.17 개봉","타구치 토모히사","하나에 나츠키(야가미 타이치), 호소야 요시마사(이시다 야마토), 사카모토 치카(아구몬)더보기","[국내] 12세 관람가",NA,NA,NA,NA,NA,"9.51","886","9.43","9.79","7.80","9.78","8.82","5.27","8.80",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","베일리 어게인","144906","모험, 코미디, 드라마","미국","100분 "," 2018.11.22 개봉","라세 할스트롬","조시 게드(베일리/ 엘리/ 티노/ 버디 목소리), 데니스 퀘이드(이든), K.J. 아파(십대 이든)더보기","[국내] 전체 관람가 [해외] PG도움말","3%","48%","23%","19%","7%","9.53","2,531","9.20","9.78","9.73","9.65","9.54","9.45","9.35","9.42","463","9.36","9.44","9.71","9.52","9.36","9.14","9.58"
"8","원더","151196","드라마","미국","113분 ","2021.02.11 재개봉,  2017.12.27 개봉","스티븐 크보스키","제이콥 트렘블레이(어기 풀먼), 줄리아 로버츠(이자벨 풀먼), 오웬 윌슨(네이트 풀먼)더보기","[국내] 전체 관람가 [해외] PG도움말","2%","34%","27%","29%","8%","9.53","3,846","9.22","9.81","9.65","9.62","9.57","9.44","9.33","9.43","319","9.37","9.46","10.0","9.45","9.47","9.32","9.56"
"9","아일라","169240","드라마, 전쟁","한국, 터키","123분 "," 2018.06.21 개봉","잔 울카이","김설(아일라), 이스마일 하지오글루(슐레이만)더보기","[국내] 15세 관람가","0%","47%","27%","17%","9%","9.52","2,155","9.29","9.80","9.70","9.56","9.57","9.49","9.44","9.13","70","8.81","9.32","0.00","9.45","8.74","9.33","8.17"
"10","극장판 바이올렛 에버가든","196843","애니메이션, 드라마, 판타지","일본","140분 "," 2020.11.12 개봉","이시다테 타이치","이시카와 유이(바이올렛 에버가든 목소리), 나미카와 다이스케(길베르트 부겐빌리아 목소리)더보기","[국내] 전체 관람가","17%","56%","17%","8%","2%","9.51","1,277","9.33","9.64","9.69","9.34","9.25","9.14","9.46","9.68","436","9.69","9.67","9.95","9.66","9.62","9.42","9.86"
"11","먼 훗날 우리","175092","드라마, 멜로/로맨스","중국","120분 ",NA,"유약영","정백연, 주동우, 톈좡좡더보기",NA,NA,NA,NA,NA,NA,"9.49","1,267","9.22","9.69","9.66","9.71","9.28","9.36","9.20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","당갈","157243","드라마, 액션","인도","161분 "," 2018.04.25 개봉","니테쉬 티와리","아미르 칸(마하비르 싱 포갓), 파티마 사나 셰이크(기타), 산야 말호트라(바비타)더보기","[국내] 12세 관람가","6%","61%","18%","8%","7%","9.49","2,434","9.07","9.85","9.38","9.62","9.43","9.42","9.36","9.62","306","9.26","9.73","9.65","9.79","9.50","8.85","9.38"
"13","포드 V 페라리","181710","액션, 드라마","미국","152분 "," 2019.12.04 개봉","제임스 맨골드","맷 데이먼(캐롤 셸비), 크리스찬 베일(켄 마일스)더보기","[국내] 12세 관람가","2%","38%","34%","18%","7%","9.48","8,278","9.43","9.68","9.60","9.62","9.50","9.31","9.41","9.31","1,112","9.34","9.25","9.57","9.40","9.24","9.41","8.90"
"14","주전장","179518","다큐멘터리","미국","121분 "," 2019.07.25 개봉","미키 데자키",NA,"[국내] 전체 관람가","3%","33%","34%","19%","11%","9.46","1,426","8.97","9.85","9.81","9.56","9.44","9.41","8.85","9.67","317","9.64","9.68","9.90","9.64","9.65","9.82","9.47"
"15","그대, 고맙소 : 김호중 생애 첫 팬미팅 무비","196828","공연실황","한국","80분 "," 2020.09.29 개봉","오윤동","김호중더보기","[국내] 전체 관람가",NA,NA,NA,NA,NA,"9.45","2,536","5.99","9.91","5.67","5.87","6.58","8.85","9.91",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","쇼생크 탈출","17421","드라마","미국","142분 ","2016.02.24 재개봉,  1995.01.28 개봉","프랭크 다라본트","팀 로빈스(앤디 듀프레인), 모건 프리먼(엘리스 보이드 레드 레딩)더보기","[국내] 15세 관람가 [해외] R도움말","0%","82%","12%","6%","0%","9.46","18,698","9.42","9.55","9.52","9.54","9.44","9.32","8.68","9.88","17","10.0","9.75","0.00","9.86","10.0","10.0","0.00"
"17","터미네이터 2:오리지널","10200","SF, 액션, 스릴러","미국, 프랑스","137분 ","2019.10.24 재개봉, 2013.11.14 재개봉,  1991.07.06 개봉","제임스 카메론","아놀드 슈왈제네거(터미네이터)더보기","[국내] 15세 관람가 [해외] R도움말","0%","31%","31%","31%","8%","9.45","7,527","9.47","9.37","9.42","9.49","9.57","9.41","9.00","9.51","39","9.42","9.88","0.00","9.92","9.92","8.75","9.33"
"18","덕구","154667","드라마","한국","91분 "," 2018.04.05 개봉","방수인","이순재(덕구할배), 정지훈(덕구)더보기","[국내] 전체 관람가","3%","47%","29%","16%","5%","9.44","2,718","8.95","9.80","9.73","9.64","9.28","9.03","9.18","9.30","265","9.12","9.40","10.0","9.23","9.46","9.14","9.08"
"19","클래식","35939","멜로/로맨스, 드라마","한국","132분 "," 2003.01.30 개봉","곽재용","손예진(지혜/주희), 조승우(준하), 조인성(상민)더보기","[국내] 12세 관람가","7%","57%","14%","21%","0%","9.44","10,482","9.36","9.58","9.58","9.36","9.42","9.46","9.40","9.79","14","9.86","9.71","10.0","9.62","10.0","10.0","0.00"
"20","나 홀로 집에","10016","모험, 범죄, 가족, 코미디","미국","105분 "," 1991.07.06 개봉","크리스 콜럼버스","맥컬리 컬킨(케빈 맥콜리스터), 조 페시(좀도둑 해리 림), 다니엘 스턴(좀도둑 마브 머챈츠)더보기","[국내] 전체 관람가 [해외] PG도움말",NA,NA,NA,NA,NA,"9.43","4,457","9.30","9.62","9.62","9.28","9.22","9.38","8.47",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","라이언 일병 구하기","18988","전쟁, 액션, 드라마","미국","170분 "," 1998.09.12 개봉","스티븐 스필버그","톰 행크스(존 밀러 대위), 에드워드 번즈(Pvt. 리처드 레이번), 톰 시즈모어(Sgt. 마이클 호바스)더보기","[국내] 15세 관람가 [해외] R도움말",NA,NA,NA,NA,NA,"9.43","4,820","9.46","9.40","9.49","9.41","9.40","9.54","9.15",NA,NA,NA,NA,NA,NA,NA,NA,NA
