"year_week" "ranking" "change_grp" "change_val" "title" "artist" "gaon_index" "production" "distribution"
"202204" "1" "new" "new" "봄여름가을겨울 (Still Life)" "BIGBANG (빅뱅)" 168901052 "YG Entertainment" "YG PLUS"
"202204" "2" "up" "1" "TOMBOY" "(여자)아이들" 133304108 "큐브엔터테인먼트" "Kakao Entertainment"
"202204" "3" "up" "23" "Feel My Rhythm" "레드벨벳(Red Velvet)" 111957588 "SM Entertainment" "Dreamus"
"202204" "4" "new" "new" "LOVE DIVE" "IVE (아이브)" 105286003 "스타쉽엔터테인먼트" "Kakao Entertainment"
"202204" "5" "up" "3" "사랑인가 봐" "멜로망스(Melomance)" 100850288 "플렉스엠" "Kakao Entertainment"
"202204" "6" "down" "4" "GANADARA (Feat. 아이유)" "박재범" 96954973 "MORE VISION" "Kakao Entertainment"
"202204" "7" "down" "3" "취중고백" "김민석" 74844734 "프로젝트 리본" "Warner Music"
"202204" "8" "down" "7" "INVU" "태연 (TAEYEON)" 73279966 "SM Entertainment" "Dreamus"
"202204" "9" "down" "4" "듣고 싶을까" "MSG워너비(M.O.M)" 66582512 "NK Company" "지니뮤직, Stone Music Entertainment"
"202204" "10" "new" "new" "우리들의 블루스" "임영웅" 65181365 "물고기뮤직" "Dreamus"
"202204" "11" "down" "4" "사랑은 늘 도망가" "임영웅" 62110385 "모스트콘텐츠" "NHN벅스"
"202204" "12" "down" "1" "ELEVEN" "IVE (아이브)" 57712208 "스타쉽엔터테인먼트" "Kakao Entertainment"
"202204" "13" "down" "7" "RUN2U" "STAYC(스테이씨)" 53644123 "하이업엔터테인먼트" "Kakao Entertainment"
"202204" "14" "down" "4" "SMILEY (Feat. BIBI)" "YENA(최예나)" 53581468 "위에화엔터테인먼트코리아" "지니뮤직, Stone Music Entertainment"
"202204" "15" "down" "1" "다정히 내 이름을 부르면" "경서예지, 전건호" 53265293 "에버그로우" "Kakao Entertainment"
"202204" "16" NA "-" "신호등" "이무진" 53164529 "쇼플레이" "Kakao Entertainment"
"202204" "17" "up" "1" "Stay" "The Kid LAROI, Justin Bieber" 48041979 "Columbia" "Sony Music"
"202204" "18" "down" "5" "회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)" "sokodomo" 47515406 "Stone Music Entertainment" "지니뮤직"
"202204" "19" "up" "1" "드라마" "아이유 (IU)" 47214931 "EDAM엔터테인먼트" "Kakao Entertainment"
"202204" "20" "down" "8" "언제나 사랑해" "케이시 (Kassy)" 46362387 "도토리뮤직" "Kakao Entertainment"
"202204" "21" "up" "8" "존재만으로" "원슈타인" 44751229 "스튜디오 마음C, 화앤담픽쳐스" "YG PLUS"
"202204" "22" "up" "48" "버퍼링 (Glitch Mode)" "NCT DREAM" 44733147 "SM Entertainment" "Dreamus"
"202204" "23" "up" "2" "strawberry moon" "아이유 (IU)" 41467715 "EDAM엔터테인먼트" "Kakao Entertainment"
"202204" "24" "up" "93" "MY BAG" "(여자)아이들" 41258785 "큐브엔터테인먼트" "Kakao Entertainment"
"202204" "25" "down" "1" "Next Level" "aespa" 40828687 "SM Entertainment" "Dreamus"
"202204" "26" "down" "7" "리무진 (Feat. MINO) (Prod. GRAY)" "BE`O (비오)" 40080046 "Stone Music Entertainment" "지니뮤직"
