순위	국가명	GNP($)	순위	국가명	인구
1	룩셈부르크(룩셈부르크)	104,673	1	중국	1,338,612,968
2	노르웨이(오슬로)	83,922	2	인도	1,166,079,217
3	카타르(도하)	72,849	3	미국	307,212,123
4	아이슬란드(레이캬비크)	63,830	4	인도네시아	240,271,522
5	아일랜드(더블린)	59,924	5	브라질	198,739,269
6	스위스(베른)	58,084	6	파키스탄	176,242,949
7	덴마크(코펜하겐)	57,261	7	방글라데시	156,050,883
8	스웨덴(스톡홀롬)	49,655	8	나아지리아	149,229,090
9	핀란드(헬싱키)	46,602	9	러시아	140,041,247
10	네덜란드(암스테르담)	46,261	10	일본	127,078,679
11	미국(워싱턴)	45,845	11	맥시코	111,211,789
12	영국(런던)	45,575	12	필리핀	97,976,603
13	오스트리아	45,181	13	베트남	86,967,524
14	캐나다	43,485	14	에티오피아	85,237,338
15	오스트레일리아	43,312	15	이집트	83,082,869
16	아랍에미리트	42,934	16	독일	82,329,758
17	벨기에	42,557	17	터키	76,805,524
18	프랑스	41,511	18	콩고	68,692,542
19	독일	40,415	19	이란	66,429,284
20	이탈리아	35,872	20	태국	65,905,410
21	싱가포르	35,163	21	프랑스	64,057,792
22	일본	34,312	22	영국	61,113,205
23	쿠웨이트	33,634	23	이탈리아	58,126,212
24	브루나이	32,167	24	남아프리카공화국	49,052,489
25	스페인	32,067	25	대한민국	48,508,972
26	뉴질랜드	30,256	26	버마	48,137,741
—	홍콩	29,650	27	우크라이나	45,700,395
27	그리스	28,273	28	콜롬비아	45,644,023
28	키프로스	27,327	29	수단	41,087,825
29	바레인	25,731	30	탄자니아	41,048,532
30	슬로베니아	22,933	31	아르헨티나	40,913,584
31	이스라엘	22,475	32	스페인	40,525,002
32	포르투갈	21,019	33	케냐	39,002,772
33	바하마	19,781	34	폴란드	38,482,919
34	대한민국	19,751	35	모로코	34,859,364
35	몰타	18,088	36	알제리아	34,178,188
36	체코	17,070	37	카나다	33,487,208
37	중화민국 (타이완)	16,606	38	우간다	32,369,558
38	트리니다드 토바고	15,905	39	폐루	29,546,963
39	에스토니아	15,851	40	이라크	28,945,657
40	오만	15,584	41	사우디아라비아	28,686,633
41	사우디아라비아	15,481	42	네팔	28,563,377
42	슬로바키아	13,857	43	아프가니스탄	28,396,000
43	헝가리	13,762	44	우즈베키스탄	27,606,007
44	바베이도스	13,605	45	베네수엘라	26,814,843
45	앤티가 바부다	13,092	46	말레이시아	25,715,819
46	라트비아	11,985	47	가나	23,832,495
47	크로아티아	11,576	48	예멘	23,822,783
48	리투아니아	11,354	49	타이완	22,974,347
49	폴란드	11,041	50	북한	22,665,345
50	세인트키츠 네비스	10,143	51	루마니아	22,215,421
　	　	　	　		5,960,278,059
51	칠레	9,879	52	모잠비크	21,669,278
52	터키	9,629	53	스리랑카	21,324,791
53	리비아	9,372	54	오스트레일리아	21,262,641
54	러시아	9,075	55	마다카스카라	20,653,556
55	적도기니	8,702	56	Cote d'Ivoire	20,617,068
56	베네수엘라	8,596	57	시리아	20,178,485
57	세이셸	8,581	58	카메룬	18,879,301
58	멕시코	8,479	59	네덜란드	16,715,999
59	보츠와나	7,888	60	칠레	16,601,707
60	가봉	7,887	61	Burkina Faso	15,746,232
61	루마니아	7,697	62	Kazakhstan	15,399,437
62	우루과이	7,172	63	Niger	15,306,252
63	말레이시아	6,948	64	에콰도르	14,573,101
64	브라질	6,938	65	캄보디아	14,494,293
65	카자흐스탄	6,868	66	말라위	14,268,711
66	아르헨티나	　	67	세네갈	13,711,597
67	레바논	6,569	68	Guatemala	13,276,517
68	남아프리카 공화국	5,906	69	앙골라	12,799,293
69	코스타리카	5,905	70	말리	12,666,987
70	파나마	5,904	71	잠비아	11,862,740
71	세인트루시아	5,689	72	쿠바	11,451,652
72	세르비아	5,596	73	짐바브웨	11,392,629
73	그레나다	5,571	74	그리스	10,737,428
74	모리셔스	5,520	75	포르투갈	10,707,924
75	세인트빈센트 그레나딘	5,229	76	Tunisia	10,486,339
76	투르크메니스탄	5,189	77	르완다	10,473,282
77	불가리아	5,186	78	벨기에	10,414,336
78	벨라루스	4,641	79	Chad	10,329,208
79	수리남	4,577	80	Czech Republic	10,211,904
80	도미니카	4,333	81	Guinea	10,057,975
81	자메이카	4,172	82	Hungary	9,905,596
82	이란	4,149	83	Somalia	9,832,017
83	도미니카 공화국	4,147	84	Bolivia	9,775,246
84	벨리즈	4,098	85	Dominican Republic	9,650,054
85	피지	3,921	86	Belarus	9,648,533
86	페루	3,886	87	Sweden	9,059,651
87	알제리	3,825	88	Haiti	9,035,536
88	앙골라	3,757	89	Burundi	8,988,091
89	타이	3,737	90	Benin	8,791,832
90	보스니아 헤르체고비나	3,712	91	Azerbaijan	8,238,672
91	아제르바이잔	3,663	92	Austria	8,210,281
92	마케도니아 공화국	3,659	93	Honduras	7,792,854
93	콜롬비아	3,611	94	Switzerland	7,604,467
94	나미비아	3,584	95	Serbia	7,379,339
95	튀니지	3,398	96	Tajikistan	7,349,145
96	알바니아	3,354	97	Israel	7,233,701
97	에콰도르	3,218	98	Bulgaria	7,204,687
98	우크라이나	3,046	99	El Salvador	7,185,218
99	몰디브	3,040	100	Hong Kong	7,055,071
100	카보베르데	2,891	101	Paraguay	6,995,655
101	엘살바도르	2,857	102	Laos	6,834,942
102	요르단	2,795	103	Sierra Leone	6,440,053
103	과테말라	2,532	104	Jordan	6,342,948
104	스와질란드	2,523	105	Libya	6,310,434
105	중화인민공화국	2,461	106	Papua New Guinea	6,057,263
106	모로코	2,389	107	Togo	6,019,877
107	그루지야	2,355	108	Nicaragua	5,891,199
108	아르메니아	2,297	109	Eritrea	5,647,168
109	콩고 공화국	2,159	110	Denmark	5,500,510
110	통가	2,138	111	Slovakia	5,463,046
111	사모아	2,101	112	Kyrgyzstan	5,431,747
112	부탄	2,012	113	Finland	5,250,275
113	바누아투	1,989	114	Turkmenistan	4,884,887
114	시리아	1,946	115	United Arab Emirates	4,798,491
115	인도네시아	1,925	116	Norway	4,660,539
116	파라과이	1,802	117	Singapore	4,657,542
117	이집트	1,739	118	Georgia	4,615,807
118	온두라스	1,635	119	Bosnia and Herzegovina	4,613,414
119	필리핀	1,625	120	Central African Republic	4,511,488
120	스리랑카	1,506	121	Croatia	4,489,409
121	몽골	1,486	122	Moldova	4,320,748
122	가이아나	1,365	123	Costa Rica	4,253,877
123	볼리비아	1,342	124	New Zealand	4,213,418
124	몰도바	1,248	125	Ireland	4,203,200
125	수단	1,242	126	Lebanon	4,017,095
126	나이지리아	1,159	127	Congo, Republic of the	4,012,809
127	지부티	1,099	128	Puerto Rico	3,971,020
128	카메룬	1,095	129	Albania	3,639,453
129	코트디부아르	1,045	130	Lithuania	3,555,179
130	파푸아 뉴기니	991	131	Uruguay	3,494,382
131	인도	978	132	Liberia	3,441,790
132	예멘	972	133	Oman	3,418,085
133	니카라과	945	134	Panama	3,360,474
134	모리타니	931	135	Mauritania	3,129,486
135	잠비아	918	136	Mongolia	3,041,142
136	세네갈	910	137	Armenia	2,967,004
137	파키스탄	909	138	Jamaica	2,825,928
138	상투메 프린시페	881	139	Kuwait	2,691,158
139	케냐	845	140	West Bank	2,461,267
140	베트남	818	141	Latvia	2,231,503
141	우즈베키스탄	815	142	Lesotho	2,130,819
142	차드	747	143	Namibia	2,108,665
143	키르기스스탄	713	144	Macedonia	2,066,718
144	솔로몬 제도	704	145	Slovenia	2,005,692
145	베냉	692	146	Botswana	1,990,876
146	코모로	691	147	Kosovo	1,804,838
147	키리바시	686	148	Gambia, The	1,782,893
148	가나	676	149	Gaza Strip	1,551,859
149	레소토	665	150	Guinea-Bissau	1,533,964
150	라오스	656	151	Gabon	1,514,993
151	아이티	630	152	Estonia	1,299,371
152	캄보디아	600	153	Mauritius	1,284,264
153	타지키스탄	578	154	Trinidad and Tobago	1,229,953
154	말리	517	155	Timor-Leste	1,131,612
155	부르키나파소	508	156	Swaziland	1,123,913
156	기니	473	157	Fiji	944,720
157	방글라데시	455	158	Qatar	833,285
158	동티모르	440	159	Cyprus	796,740
159	마다가스카르	431	160	Guyana	772,298
160	탄자니아	415	161	Comoros	752,438
161	감비아	411	162	Bahrain	727,785
162	중앙아프리카 공화국	402	163	Bhutan	691,141
163	네팔	400	164	Montenegro	672,180
164	토고	387	165	Equatorial Guinea	633,441
165	모잠비크	369	166	Solomon Islands	595,613
166	우간다	363	167	Macau	559,846
167	르완다	353	168	Djibouti	516,055
168	아프가니스탄	323	169	Luxembourg	491,775
169	니제르	313	170	Suriname	481,267
170	시에라리온	290	171	Cape Verde	429,474
171	에리트레아	281	172	Western Sahara	405,210
172	말라위	264	173	Malta	405,165
173	에티오피아	252	174	Maldives	396,334
174	미얀마	235	175	Brunei	388,190
175	기니비사우	206	176	Bahamas, The	309,156
176	라이베리아	195	177	Belize	307,899
177	콩고 민주 공화국	166	178	Iceland	306,694
178	부룬디	128	179	French Polynesia	287,032
179	짐바브웨	55	180	Barbados	284,589
