Name		Score	Assist	Field	Three	Free	Rebound	Steal	Block	Position
L.Benson	27.9	0	12.1	0	3.4	14.6    0	1.8	1
A.McGhee	22.9	2.3	9.2	0	3.6	9.7	0	0.7	1
D.Alexander	22.8	2.6	9	1.1	3.7	10	1	0.7	1
J.Burrough	20.8	0	8.4	0	2.9	8.3	1.4	0.9	1
N.Dixon		19	0	8	0	3	15.9	0	0.3	1
J.Watkins	16.9	0	7.2	0	2.2	12.4	1.1	1.9	1
O.Oyedeji	16.1	0	6.5	0	3	13.2	0	1.2	1
JangHoon	19.6	0	7.5	1.4	3.2	5.8	0	0.4	1
D.Jones		29.2	0	11.9	2.5	2.8	10.6	1.8	0.6	2
C.Minlend	28.5	2.8	10.2	2	6	9.7	1.6	0.8	2
C.Williams	25.4	7.1	10.4	0	4	9.9	2.5	1.4	2
N.Johnson	23	3.3	8.7	1.3	4.2	6.5	1.1	0.6	2
I.Clark		22.3	0	8.8	1.2	3.5	8.1	1	0.8	2
A.Brown		21.4	0	9.7	0	2	11.4	1.2	0.8	2
D.Brown		19.6	2.7	7.7	1.3	2.7	8.7	1.3	0.9	2
N.Nolan		18.1	0	7.6	0	0	0	0	0	2
JuSung		17.2	2.7	6.6	0	3.9	6.3	1	1.7	2
SungYoon	17.1	0	5.6	2.5	3.4	4.2	1.7	0	2
SeungKyun	15.3	3.3	5.4	1.8	2.6	2.9	0	0	2
KangHyuk	11.2	6.3	4.3	0	0	3	1.8	0	2
KyuSup		11.1	0	0	1.7	0	0	0	0.2	2
JuYup		11.1	5.3	4.3	0	1.7	4.3	1	0	2
SeungHyun	13.9	9.3	4.8	1.8	2.3	4.2	2.4	0	3
DongGeun	12.5	4.8	4.7	1.3	1.6	0	1.2	0	3
GiSung		11.7	6.8	0	1.7	1.7	3.3	1.7	0	3
GyoungMin	14.8	3.5	5	3	1.6	0	1	0.2	4
KyoungEun	14.5	2.4	4.9	3	1.6	0	0	0	4
SangHyun	14.2	2.7	4.5	2.3	2.7	0	0.9	0	4
ByungChul	12.6	3.3	0	2.1	2.6	0	0	0.1	4
HeeSeung	12.3	0	4.3	1.8	1.8	0	1	0	4
