경기번호,경기일자,홈팀,원정팀,홈팀득점,원정팀득점,,승자,홈(1)/원정(2)
1,2010-10-15,울산모비스,안양한국인삼공사,99,86,,울산모비스,1
2,2010-10-16,서울삼성,인천전자랜드,88,86,,서울삼성,1
3,2010-10-16,부산KT,전주KCC,71,67,,부산KT,1
4,2010-10-16,대구오리온스,원주동부,79,91,,원주동부,2
5,2010-10-16,서울SK,창원LG,81,91,,창원LG,2
6,2010-10-17,인천전자랜드,부산KT,70,60,,인천전자랜드,1
7,2010-10-17,전주KCC,서울삼성,88,90,,서울삼성,2
8,2010-10-17,안양한국인삼공사,대구오리온스,54,67,,대구오리온스,2
9,2010-10-17,원주동부,창원LG,68,55,,원주동부,1
10,2010-10-17,서울SK,울산모비스,90,78,,서울SK,1
11,2010-10-19,부산KT,안양한국인삼공사,82,73,,부산KT,1
12,2010-10-19,인천전자랜드,원주동부,79,73,,인천전자랜드,1
13,2010-10-20,서울SK,서울삼성,84,79,,서울SK,1
14,2010-10-20,전주KCC,창원LG,86,97,,창원LG,2
15,2010-10-21,대구오리온스,부산KT,73,83,,부산KT,2
16,2010-10-21,울산모비스,인천전자랜드,68,87,,인천전자랜드,2
17,2010-10-22,서울SK,전주KCC,62,79,,전주KCC,2
18,2010-10-22,안양한국인삼공사,창원LG,76,97,,창원LG,2
19,2010-10-23,울산모비스,서울삼성,92,118,,서울삼성,2
20,2010-10-23,원주동부,부산KT,71,79,,부산KT,2
21,2010-10-23,인천전자랜드,대구오리온스,73,68,,인천전자랜드,1
22,2010-10-24,전주KCC,원주동부,66,59,,전주KCC,1
23,2010-10-24,안양한국인삼공사,서울SK,76,82,,서울SK,2
24,2010-10-24,서울삼성,창원LG,79,75,,서울삼성,1
25,2010-10-26,대구오리온스,서울SK,84,88,,서울SK,2
26,2010-10-26,전주KCC,울산모비스,81,71,,전주KCC,1
27,2010-10-27,부산KT,창원LG,82,72,,부산KT,1
28,2010-10-27,원주동부,서울삼성,78,60,,원주동부,1
29,2010-10-28,인천전자랜드,서울SK,85,82,,인천전자랜드,1
30,2010-10-28,전주KCC,안양한국인삼공사,84,83,,전주KCC,1
31,2010-10-29,서울삼성,부산KT,100,95,,서울삼성,1
32,2010-10-29,울산모비스,창원LG,86,81,,울산모비스,1
33,2010-10-30,대구오리온스,전주KCC,90,88,,대구오리온스,1
34,2010-10-30,안양한국인삼공사,인천전자랜드,79,74,,안양한국인삼공사,1
35,2010-10-30,원주동부,서울SK,85,69,,원주동부,1
36,2010-10-31,서울삼성,대구오리온스,86,83,,서울삼성,1
37,2010-10-31,창원LG,인천전자랜드,85,87,,인천전자랜드,2
38,2010-10-31,울산모비스,부산KT,71,84,,부산KT,2
39,2010-11-02,울산모비스,원주동부,61,66,,원주동부,2
40,2010-11-02,창원LG,대구오리온스,91,87,,창원LG,1
41,2010-11-03,서울삼성,안양한국인삼공사,75,65,,서울삼성,1
42,2010-11-03,부산KT,서울SK,74,76,,서울SK,2
43,2010-11-04,대구오리온스,울산모비스,106,76,,대구오리온스,1
44,2010-11-04,인천전자랜드,전주KCC,84,82,,인천전자랜드,1
45,2010-11-05,안양한국인삼공사,원주동부,78,64,,안양한국인삼공사,1
46,2010-11-05,서울SK,창원LG,96,80,,서울SK,1
47,2010-11-06,전주KCC,서울삼성,79,80,,서울삼성,2
48,2010-11-06,부산KT,인천전자랜드,67,68,,인천전자랜드,2
49,2010-11-06,울산모비스,대구오리온스,72,77,,대구오리온스,2
50,2010-11-07,창원LG,부산KT,93,94,,부산KT,2
51,2010-11-07,원주동부,안양한국인삼공사,74,58,,원주동부,1
52,2010-11-07,서울SK,서울삼성,83,79,,서울SK,1
53,2010-11-09,인천전자랜드,안양한국인삼공사,84,73,,인천전자랜드,1
54,2010-11-09,창원LG,전주KCC,83,78,,창원LG,1
55,2010-11-09,울산모비스,서울삼성,75,86,,서울삼성,2
56,2010-11-10,부산KT,서울SK,73,65,,부산KT,1
57,2010-11-10,원주동부,대구오리온스,60,51,,원주동부,1
58,2010-11-11,안양한국인삼공사,전주KCC,86,92,,전주KCC,2
59,2010-11-28,부산KT,원주동부,65,75,,원주동부,2
60,2010-11-28,서울SK,대구오리온스,61,80,,대구오리온스,2
61,2010-11-28,전주KCC,인천전자랜드,77,83,,인천전자랜드,2
62,2010-11-30,원주동부,창원LG,95,63,,원주동부,1
63,2010-11-30,서울삼성,인천전자랜드,90,58,,서울삼성,1
64,2010-12-01,서울SK,울산모비스,90,76,,서울SK,1
65,2010-12-01,대구오리온스,안양한국인삼공사,82,90,,안양한국인삼공사,2
66,2010-12-02,부산KT,서울삼성,101,95,,부산KT,1
67,2010-12-02,원주동부,전주KCC,81,64,,원주동부,1
68,2010-12-03,창원LG,대구오리온스,91,83,,창원LG,1
69,2010-12-03,인천전자랜드,울산모비스,79,71,,인천전자랜드,1
70,2010-12-04,전주KCC,서울SK,70,76,,서울SK,2
71,2010-12-04,부산KT,안양한국인삼공사,98,80,,부산KT,1
72,2010-12-04,서울삼성,원주동부,74,70,,서울삼성,1
73,2010-12-05,울산모비스,전주KCC,82,76,,울산모비스,1
74,2010-12-05,안양한국인삼공사,창원LG,90,76,,안양한국인삼공사,1
