		Jan	Feb	March	April	May	June	July	Aug	Sep	Oct	Nov	Dec
BAHRAIN		16.0 	16.5 	20.0 	24.0 	28.5 	31.0 	32.5 	33.0 	31.0 	27.5 	23.0 	18.0 
CALCUTTA	20.0 	22.5 	27.5 	30.0 	31.0 	29.5 	29.0 	29.0 	29.0 	28.0 	23.5 	19.5 
COLOMBO		26.0 	26.0 	27.0 	27.5 	28.0 	27.5 	27.0 	27.0 	27.5 	26.5 	31.0 	26.0 
CHENNAI		25.0 	25.5 	27.5 	30.5 	33.5 	32.5 	31.0 	30.5 	29.5 	28.0 	26.0 	25.0 
DUBAI		18.0 	19.0 	22.5 	25.0 	28.0 	30.5 	33.5 	33.5 	31.0 	27.5 	23.5 	20.0 
FRAKFURT	-0.5 	1.0 	6.5 	12.0 	15.0 	18.5 	20.0 	19.5 	16.0 	11.0 	5.5 	1.0 
GENEVA 		1.0 	0.0 	6.0 	10.0 	13.5 	16.0 	20.0 	19.5 	15.0 	9.5 	5.5 	2.0 
LONDON 		4.0 	4.5 	6.5 	9.0 	12.5 	15.5 	17.5 	17.0 	15.0 	11.0 	7.5 	5.0 
MADRID		5.0 	6.5 	9.5 	12.5 	16.5 	21.0 	25.0 	24.5 	20.5 	14.0 	9.0 	5.0 
MANILA		24.0 	24.5 	26.5 	27.5 	28.0 	28.0 	26.0 	26.0 	26.5 	26.5 	25.0 	24.5 
MOSCOW		-9.5 	-8.5 	-4.0 	4.0 	12.5 	17.0 	18.5 	16.5 	11.0 	4.5 	-2.5 	-8.0 
MEXICO_CITY	14.0 	19.0 	21.0 	22.5 	22.5 	22.5 	22.5 	22.0 	22.0 	20.5 	19.5 	15.5 
NEW_DELHI	13.5 	17.0 	21.5 	28.0 	33.0 	33.5 	31.0 	30.0 	29.0 	26.0 	19.5 	15.0 
NEW_YORK	1.0 	0.5 	5.0 	10.5 	17.0 	22.0 	25.0 	24.0 	20.0 	15.0 	8.5 	2.0 
PARIS		4.0 	4.0 	7.0 	10.5 	13.5 	17.0 	19.0 	18.5 	16.0 	11.5 	7.0 	3.5 
ROME 		7.5 	9.0 	11.5 	14.5 	18.0 	22.5 	25.5 	25.5 	22.0 	17.0 	12.5 	8.5 
SAN_FRANCISCO	9.5 	10.0 	12.0 	13.0 	14.5 	16.0 	17.0 	17.0 	17.5 	16.5 	13.0 	10.0 
SINGAPORE	26.5 	26.5 	27.5 	27.5 	27.0 	27.5 	27.5 	27.5 	27.0 	27.0 	27.0 	26.5 
SYDNEY		25.0 	25.0 	22.0 	19.5 	16.0 	11.0 	12.0 	13.0 	15.5 	17.5 	21.0 	25.0 
TOKYO		4.5 	5.0 	8.0 	13.5 	18.5 	21.5 	25.5 	27.0 	23.5 	17.0 	12.0 	7.0 
TORONTO		-4.5 	-4.5 	0.0 	4.5 	5.0 	18.5 	21.5 	21.0 	17.0 	10.0 	8.0 	-2.0 
